1595969227.560045,2020-07-29 02:17:07.559, Received on USB0: , 0x87
1595969228.591165,2020-07-29 02:17:08.590, Received on USB0: , 0x87
1595969229.62232,2020-07-29 02:17:09.622, Received on USB0: , 0x87
1595969230.653478,2020-07-29 02:17:10.653, Received on USB0: , 0x87
1595969231.68451,2020-07-29 02:17:11.684, Received on USB0: , 0x87
1595969232.715823,2020-07-29 02:17:12.715, Received on USB0: , 0x87
1595969233.749414,2020-07-29 02:17:13.749, Received on USB0: , 0x87
1595969234.782378,2020-07-29 02:17:14.782, Received on USB0: , 0x87
1595969235.974042,2020-07-29 02:17:15.973, Received on USB0: , 0x87
1595969237.192778,2020-07-29 02:17:17.192, Received on USB0: , 0x87
1595969238.223944,2020-07-29 02:17:18.223, Received on USB0: , 0x87
1595969239.255308,2020-07-29 02:17:19.255, Received on USB0: , 0x87
1595969240.286275,2020-07-29 02:17:20.286, Received on USB0: , 0x87
1595969241.317417,2020-07-29 02:17:21.317, Received on USB0: , 0x87
1595969242.348634,2020-07-29 02:17:22.348, Received on USB0: , 0x87
1595969243.37983,2020-07-29 02:17:23.379, Received on USB0: , 0x87
1595969244.41325,2020-07-29 02:17:24.413, Received on USB0: , 0x87
1595969245.444521,2020-07-29 02:17:25.444, Received on USB0: , 0x87
1595969247.815215,2020-07-29 02:17:27.814, Received on USB0: , 0x07
1595969250.526131,2020-07-29 02:17:30.525, Received on USB0: , 0x00
1595969262.207437,2020-07-29 02:17:42.207, Terminated by user
