1595969231.682119,2020-07-29 02:17:11.681, Received on USB1: , 0x81
1595969232.713557,2020-07-29 02:17:12.713, Received on USB1: , 0x81
1595969233.746781,2020-07-29 02:17:13.746, Received on USB1: , 0x81
1595969234.780135,2020-07-29 02:17:14.779, Received on USB1: , 0x81
1595969235.971747,2020-07-29 02:17:15.971, Received on USB1: , 0x81
1595969237.190389,2020-07-29 02:17:17.190, Received on USB1: , 0x81
1595969238.221517,2020-07-29 02:17:18.221, Received on USB1: , 0x81
1595969239.252996,2020-07-29 02:17:19.252, Received on USB1: , 0x81
1595969240.284055,2020-07-29 02:17:20.283, Received on USB1: , 0x81
1595969241.315146,2020-07-29 02:17:21.315, Received on USB1: , 0x81
1595969242.346354,2020-07-29 02:17:22.346, Received on USB1: , 0x81
1595969243.37754,2020-07-29 02:17:23.377, Received on USB1: , 0x81
1595969244.410945,2020-07-29 02:17:24.410, Received on USB1: , 0x81
1595969245.442248,2020-07-29 02:17:25.442, Received on USB1: , 0x81
1595969247.812893,2020-07-29 02:17:27.812, Received on USB1: , 0x81
1595969250.39874,2020-07-29 02:17:30.398, Received on USB1: , 0x00
1595969260.686952,2020-07-29 02:17:40.686, Terminated by user
